"SampleID","Group","Type","Lake","Ile","Leu","Phe","Thr","Val","Elevation.m"
"SNL-TERPLA-27","Terrestrial Plants","Pinus contorta ssp. Murrayana","Blue",-21.4,-32.4,-26.1,-15.3,-20.4,"3054"
"SNL-TERPLA-SA","Terrestrial Plants","Artemisia tridentata","Blue",-25.7,-38,-29.7,-20.3,-30,"3054"
"SNL-ZOOP-01A","Zooplankton","Daphnia","Lukens",-28.4,-35.1,-36.9,-22.5,-31.8,"2513"
"SNL-ZOOP-02A","Zooplankton","Daphnia","Lukens",-26.1,-34.8,-34.2,-24,-31.1,"2513"
"SNL-ZOOP-03A","Zooplankton","calanoid","Lukens",-29.1,-38,-36.8,-23.5,-33.7,"2513"
"SNL-ZOOP-04A","Zooplankton","calanoid","Lukens",-29.2,-38.4,-36.6,-26.4,-33.1,"2513"
"SNL-ZOOP-05A","Zooplankton","calanoid","MayPond",-31.1,-40.5,-37.3,-28.7,-34.9,"2714"
"SNL-ZOOP-06A","Zooplankton","calanoid","MayPond",-29.7,-39.7,-35.1,-22.7,-30.8,"2714"
"SNL-ZOOP-07A","Zooplankton","calanoid","MayPond",-30,-38.7,-34.7,-24.2,-31.4,"2714"
"SNL-ZOOP-08A","Zooplankton","calanoid_cyclopoid","Blue",-23.1,-32.8,-30.6,-16.2,-23.7,"3054"
"SNL-ZOOP-09A","Zooplankton","calanoid_cyclopoid","Blue",-25.6,-33.5,-30,-20.2,-26.4,"3054"
"SNL-ZOOP-10A","Zooplankton","Daphnia","Blue",-24.8,-31.8,-32.2,-16.9,-29.9,"3054"
"SNL-ZOOP-11A","Zooplankton","Daphnia","Blue",-21.4,-31,-29.3,-14.8,-23.6,"3054"
"SNL-ZOOP-13A","Zooplankton","Daphnia","Cascade",-21.7,-34.4,-31.3,-16.1,-26.8,"3140"
"SNL-ZOOP-14A","Zooplankton","Daphnia","Cascade",-22.4,-33.8,-32,-19.4,-26.5,"3140"
"SNL-ZOOP-15A","Zooplankton","Daphnia","EasternBrook",-22.7,-32.9,-29.6,-17.5,-24.9,"3155"
"SNL-ZOOP-16A","Zooplankton","calanoid_cyclopoid","EasternBrook",-23.1,-33.3,-33,-16.8,-25.7,"3155"
"SNL-ZOOP-17A","Zooplankton","calanoid_cyclopoid","EasternBrook",-23.3,-34.2,-31.1,-18.4,-27.6,"3155"
"SNL-ZOOP-18A","Zooplankton","calanoid","Granite2",-20,-30,-27.5,-13.4,-24,"3178"
"SNL-ZOOP-19A","Zooplankton","Daphnia","Granite2",-19,-27.7,-26,-12.8,-23,"3178"
"SNL-ZOOP-20A","Zooplankton","Ceriodaphnia","Granite2",-17.1,-24.9,-24.5,-9.1,-19.1,"3178"
"SNL-ZOOP-GFF47","Zooplankton",">350um","Sunrise2",-29.1,-37.5,-36.3,-25.7,-35,"2830"
"SNL-ZOOP-GFF48","Zooplankton","Holopedium","Cascade",-23.2,-31.9,-30.6,-22.3,-30.4,"3140"
"SNL-ZOOP-GFF49","Zooplankton",">350um","Blue",-22.5,-33.2,-32.7,-20.5,-26.1,"3054"
"SNL-ZOOP-GFF53","Zooplankton",">350um","EasternBrook",-24.3,-32.9,-32.9,-20.5,-26.5,"3155"
"SNL-ZOOP-GFF65","Zooplankton",">350um","Lukens",-24.4,-35.4,-34.6,-22.9,-29.2,"2513"
"SNL-ZOOP-GFF66","Zooplankton",">350um","Greenstone",-18.1,-28.1,-29.1,-13.2,-19.6,"3091"
"SNL-ZOOP-GFF67","Zooplankton",">350um","Granite2",-18.2,-26,-25.9,-14.4,-21.9,"3178"
"SNL-ZOOP-GFF69","Zooplankton",">350um","MayPond",-33.1,-40.3,-39.4,-28.6,-36.4,"2714"
"SNL-ZOOP-GFF70","Zooplankton",">350um","Cascade",-19.6,-31.8,-30.9,-18.7,-24,"3140"
