"","SampleID","Lake","Elevation.m","Group","Type","orig.class","phy.group","Ile","Leu","Phe","Thr","Val","Ile.n","Leu.n","Phe.n","Thr.n","Val.n","LD.class","LD1","LD2"
"29","SNL-ZOOP-02A","Lukens","2513","Zooplankton","Daphnia","Daphnia","cladocera",-26.1,-34.8,-34.2,-24,-31.1,3.94,-4.76,-4.16,6.04,-1.06,"POM",-2.5518821255409,-2.23121438225773
"30","SNL-ZOOP-03A","Lukens","2513","Zooplankton","calanoid","calanoid","copepoda",-29.1,-38,-36.8,-23.5,-33.7,3.12,-5.78,-4.58,8.72,-1.48,"POM",-1.79294629940385,-2.28847974260303
"31","SNL-ZOOP-04A","Lukens","2513","Zooplankton","calanoid","calanoid","copepoda",-29.2,-38.4,-36.6,-26.4,-33.1,3.54,-5.66,-3.86,6.34,-0.359999999999999,"POM",-1.77550401199985,-2.88892700913874
"32","SNL-ZOOP-05A","MayPond","2714","Zooplankton","calanoid","calanoid","copepoda",-31.1,-40.5,-37.3,-28.7,-34.9,3.4,-6,-2.8,5.8,-0.399999999999999,"POM",-1.15899992181722,-2.9943319591995
"33","SNL-ZOOP-06A","MayPond","2714","Zooplankton","calanoid","calanoid","copepoda",-29.7,-39.7,-35.1,-22.7,-30.8,1.9,-8.1,-3.5,8.9,0.800000000000001,"POM",0.96946021858708,-2.24472976198786
"34","SNL-ZOOP-07A","MayPond","2714","Zooplankton","calanoid","calanoid","copepoda",-30,-38.7,-34.7,-24.2,-31.4,1.8,-6.9,-2.9,7.6,0.400000000000002,"POM",0.162954445652271,-2.04835905313299
"35","SNL-ZOOP-08A","Blue","3054","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-32.8,-30.6,-16.2,-23.7,2.18,-7.52,-5.32,9.08,1.58,"POM",0.15258917389344,-1.58816124779992
"36","SNL-ZOOP-09A","Blue","3054","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-25.6,-33.5,-30,-20.2,-26.4,1.54,-6.36,-2.86,6.94,0.740000000000002,"POM",0.125517441627714,-1.01403302749604
"37","SNL-ZOOP-10A","Blue","3054","Zooplankton","Daphnia","Daphnia","cladocera",-24.8,-31.8,-32.2,-16.9,-29.9,2.32,-4.68,-5.08,10.22,-2.78,"POM",-2.34477536044207,-0.423148278677842
"38","SNL-ZOOP-11A","Blue","3054","Zooplankton","Daphnia","Daphnia","cladocera",-21.4,-31,-29.3,-14.8,-23.6,2.62,-6.98,-5.28,9.22,0.419999999999998,"POM",-0.283172133808031,-1.00157042002824
"39","SNL-ZOOP-13A","Cascade","3140","Zooplankton","Daphnia","Daphnia","cladocera",-21.7,-34.4,-31.3,-16.1,-26.8,4.36,-8.34,-5.24,9.96,-0.740000000000002,"POM",0.40028929521303,-1.54903746464101
"40","SNL-ZOOP-14A","Cascade","3140","Zooplankton","Daphnia","Daphnia","cladocera",-22.4,-33.8,-32,-19.4,-26.5,4.42,-6.98,-5.18,7.42,0.32,"POM",-0.878480843117249,-2.27211279730355
"41","SNL-ZOOP-15A","EasternBrook","3155","Zooplankton","Daphnia","Daphnia","cladocera",-22.7,-32.9,-29.6,-17.5,-24.9,2.82,-7.38,-4.08,8.02,0.620000000000001,"POM",0.379493248787145,-1.23702266803923
"42","SNL-ZOOP-16A","EasternBrook","3155","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.1,-33.3,-33,-16.8,-25.7,3.28,-6.92,-6.62,9.58,0.68,"POM",-1.21761512417561,-2.19802496145203
"43","SNL-ZOOP-17A","EasternBrook","3155","Zooplankton","calanoid_cyclopoid","calanoid_cyclopoid","copepoda",-23.3,-34.2,-31.1,-18.4,-27.6,3.62,-7.28,-4.18,8.52,-0.68,"POM",-0.014907127054003,-1.35685871410433
"44","SNL-ZOOP-18A","Granite2","3178","Zooplankton","calanoid","calanoid","copepoda",-20,-30,-27.5,-13.4,-24,2.98,-7.02,-4.52,9.58,-1.02,"POM",0.0891390132340317,-0.131522987491091
"45","SNL-ZOOP-19A","Granite2","3178","Zooplankton","Daphnia","Daphnia","cladocera",-19,-27.7,-26,-12.8,-23,2.7,-6,-4.3,8.9,-1.3,"Algae",-0.552787048294089,0.367111304766032
"46","SNL-ZOOP-20A","Granite2","3178","Zooplankton","Ceriodaphnia","Ceriodaphnia","cladocera",-17.1,-24.9,-24.5,-9.1,-19.1,1.84,-5.96,-5.56,9.84,-0.16,"Algae",-0.699067993896762,0.60545000328492
"47","SNL-ZOOP-GFF47","Sunrise2","2830","Zooplankton",">350um",">350um",">350um",-29.1,-37.5,-36.3,-25.7,-35,3.62,-4.78,-3.58,7.02,-2.28,"POM",-2.41540559850187,-2.12322346497795
"48","SNL-ZOOP-GFF48","Cascade","3140","Zooplankton","Holopedium","Holopedium","cladocera",-23.2,-31.9,-30.6,-22.3,-30.4,4.48,-4.22,-2.92,5.38,-2.72,"POM",-2.43209646603528,-0.96351890065193
"49","SNL-ZOOP-GFF49","Blue","3054","Zooplankton",">350um",">350um",">350um",-22.5,-33.2,-32.7,-20.5,-26.1,4.5,-6.2,-5.7,6.5,0.899999999999999,"POM",-1.82261025333872,-2.74687083190729
"50","SNL-ZOOP-GFF53","EasternBrook","3155","Zooplankton",">350um",">350um",">350um",-24.3,-32.9,-32.9,-20.5,-26.5,3.12,-5.48,-5.48,6.92,0.919999999999998,"POM",-2.08904141970294,-2.34775348602931
"51","SNL-ZOOP-GFF65","Lukens","2513","Zooplankton",">350um",">350um",">350um",-24.4,-35.4,-34.6,-22.9,-29.2,4.9,-6.1,-5.3,6.4,0.100000000000001,"POM",-2.00891569314742,-3.03483478355981
"52","SNL-ZOOP-GFF66","Greenstone","3091","Zooplankton",">350um",">350um",">350um",-18.1,-28.1,-29.1,-13.2,-19.6,3.52,-6.48,-7.48,8.42,2.02,"POM",-1.65569356255209,-1.91909730579958
"53","SNL-ZOOP-GFF67","Granite2","3178","Zooplankton",">350um",">350um",">350um",-18.2,-26,-25.9,-14.4,-21.9,3.08,-4.72,-4.62,6.88,-0.619999999999997,"Algae",-1.88290816764861,-0.110649093053534
"54","SNL-ZOOP-GFF69","MayPond","2714","Zooplankton",">350um",">350um",">350um",-33.1,-40.3,-39.4,-28.6,-36.4,2.46,-4.73999999999999,-3.84,6.96,-0.839999999999996,"POM",-2.54820460179028,-3.0204477104483
"55","SNL-ZOOP-GFF70","Cascade","3140","Zooplankton",">350um",">350um",">350um",-19.6,-31.8,-30.9,-18.7,-24,5.4,-6.8,-5.9,6.3,1,"POM",-1.42052259090192,-2.64628496140358
